cell	type
G11_P2_M55_L001	NK3 cells
G11_P3_M55_L001	NK3 cells
G11_P4_M55_L001	B cells
G12_P1_M55_L001	CD8_B cells
G12_P2_M55_L001	CD4 T.reg cells
G12_P3_M55_L001	CD4 T.mem cells
G12_P4_M55_L001	CD4 T.mem cells
G1_P1_M55_L001	CD4 T.reg cells
G1_P2_M55_L001	NK3 cells
G1_P3_M55_L001	CD8_B cells
G1_P4_M55_L001	NK3 cells
G2_P1_M55_L001	NK3 cells
G2_P2_M55_L001	CD8_G cells
G2_P3_M55_L001	CD4 T.reg cells
G2_P4_M55_L001	NK1 cells
G3_P1_M55_L001	CD8_G cells
G3_P2_M55_L001	CD4 T.reg cells
G3_P3_M55_L001	CD4 T.reg cells
G3_P4_M55_L001	CD8_B cells
G4_P1_M55_L001	unclustered
G4_P2_M55_L001	CD8_B cells
G4_P3_M55_L001	unclustered
G4_P4_M55_L001	NK3 cells
G5_P1_M55_L001	B cells
G5_P2_M55_L001	CD8_B cells
G5_P3_M55_L001	CD8_G cells
G5_P4_M55_L001	NK2 cells
G6_P1_M55_L001	CD8_B cells
G6_P2_M55_L001	CD8_B cells
G6_P3_M55_L001	CD4 T.reg cells
G6_P4_M55_L001	CD8_B cells
G7_P1_M55_L001	CD8_B cells
G7_P2_M55_L001	NK3 cells
G7_P3_M55_L001	CD8_G cells
G8_P1_M55_L001	CD8_B cells
G8_P2_M55_L001	CD8_B cells
G8_P3_M55_L001	CD8_B cells
G8_P4_M55_L001	CD8_G cells
G9_P1_M55_L001	CD8_B cells
G9_P2_M55_L001	CD8_B cells
G9_P3_M55_L001	CD8_B cells
G9_P4_M55_L001	CD8_B cells
H10_P1_M55_L001	CD8_B cells
H10_P2_M55_L001	NK3 cells
H10_P4_M55_L001	unclustered
H11_P1_M55_L001	CD8_G cells
H11_P2_M55_L001	B cells
H11_P3_M55_L001	CD8_B cells
H12_P1_M55_L001	CD4 T.reg cells
H12_P3_M55_L001	CD8_B cells
H1_P1_M55_L001	CD8_G cells
H1_P2_M55_L001	CD8_B cells
H1_P3_M55_L001	unclustered
H1_P4_M55_L001	unclustered
H2_P1_M55_L001	CD8_B cells
H2_P2_M55_L001	CD8_B cells
H2_P3_M55_L001	B cells
H2_P4_M55_L001	CD8_B cells
H3_P1_M55_L001	CD8_B cells
H3_P2_M55_L001	CD4 T.reg cells
H3_P3_M55_L001	B cells
H3_P4_M55_L001	CD8_B cells
H4_P1_M55_L001	unclustered
H4_P2_M55_L001	B cells
H4_P3_M55_L001	CD8_G cells
H4_P4_M55_L001	Monocytes/Macrophages
H5_P1_M55_L001	CD8_B cells
H5_P2_M55_L001	CD8_B cells
H5_P3_M55_L001	CD8_B cells
H5_P4_M55_L001	unclustered
H6_P1_M55_L001	CD8_B cells
H6_P2_M55_L001	CD8_B cells
H6_P3_M55_L001	CD4 T.reg cells
H6_P4_M55_L001	CD4 T.reg cells
H7_P1_M55_L001	NK3 cells
H7_P2_M55_L001	CD4 T.reg cells
H7_P4_M55_L001	CD8_G cells
H8_P1_M55_L001	CD8_G cells
H8_P2_M55_L001	CD4 T.reg cells
H8_P3_M55_L001	CD8_B cells
H8_P4_M55_L001	CD8_B cells
H9_P1_M55_L001	CD8_B cells
H9_P2_M55_L001	CD4 T.reg cells
H9_P3_M55_L001	CD8_B cells
H9_P4_M55_L001	CD8_B cells
A10_P1_M34	NK3 cells
A10_P2_M34	CD4 T.mem cells
A10_P3_M34	CD8_B cells
A10_P4_M34	NK3 cells
A11_P1_M34	Monocytes/Macrophages
A11_P2_M34	NK3 cells
A11_P3_M34	Dendritic cells
A11_P4_M34	CD8_B cells
A12_P1_M34	Monocytes/Macrophages
A12_P2_M34	CD8_B cells
A12_P3_M34	CD8_B cells
A12_P4_M34	CD8_B cells
A2_P2_M34	CD8_B cells
A2_P3_M34	Monocytes/Macrophages
A2_P4_M34	CD8_G cells
A3_P1_M34	CD8_G cells
A3_P2_M34	CD8_G cells
A3_P4_M34	unclustered
A4_P1_M34	CD4 T.reg cells
A4_P2_M34	CD8_B cells
A4_P3_M34	CD8_B cells
A4_P4_M34	CD8_B cells
A5_P1_M34	CD4 T.reg cells
A5_P2_M34	Monocytes/Macrophages
A5_P3_M34	CD8_G cells
A5_P4_M34	NK2 cells
A6_P1_M34	CD4 T.reg cells
A6_P2_M34	CD8_B cells
A6_P3_M34	NK2 cells
A6_P4_M34	NK3 cells
A7_P1_M34	NK2 cells
A7_P2_M34	NK3 cells
A7_P3_M34	CD8_B cells
A7_P4_M34	NK1 cells
A8_P1_M34	CD8_G cells
A8_P2_M34	CD8_G cells
A8_P3_M34	Monocytes/Macrophages
A8_P4_M34	CD8_G cells
A9_P1_M34	Monocytes/Macrophages
A9_P2_M34	Monocytes/Macrophages
A9_P3_M34	CD8_G cells
A9_P4_M34	CD8_B cells
B10_P1_M34	CD8_B cells
B10_P3_M34	CD4 T.reg cells
B10_P4_M34	CD8_B cells
B11_P1_M34	CD8_B cells
B11_P2_M34	CD8_B cells
B11_P4_M15	NK3 cells
B12_P1_M34	CD8_B cells
B12_P2_M34	CD8_G cells
B12_P4_M34	CD8_B cells
B1_P1_M34	NK2 cells
B1_P2_M34	CD8_B cells
B1_P3_M34	CD8_B cells
B1_P4_M34	CD4 T.reg cells
B2_P1_M34	CD8_B cells
B2_P2_M34	CD8_G cells
B2_P3_M34	CD8_B cells
B2_P4_M34	CD8_B cells
B3_P1_M34	NK3 cells
B3_P2_M34	NK3 cells
B3_P3_M34	CD8_B cells
B3_P4_M34	CD8_G cells
B4_P1_M34	unclustered
B4_P2_M34	CD8_B cells
B4_P3_M34	CD8_B cells
B4_P4_M34	unclustered
B5_P1_M34	CD8_B cells
B5_P2_M34	CD8_G cells
B5_P3_M34	CD8_B cells
B5_P4_M34	CD8_B cells
B6_P1_M34	B cells
B6_P2_M34	unclustered
B6_P3_M34	unclustered
B6_P4_M34	unclustered
B7_P1_M34	CD8_B cells
B7_P2_M34	CD8_B cells
B7_P3_M34	CD8_B cells
B7_P4_M34	Monocytes/Macrophages
B8_P1_M34	unclustered
B8_P2_M34	NK3 cells
B8_P3_M34	NK2 cells
B8_P4_M34	CD8_G cells
B9_P1_M34	CD8_B cells
B9_P2_M34	CD8_B cells
B9_P3_M34	unclustered
B9_P4_M34	CD8_B cells
C10_P1_M34	CD8_B cells
C10_P2_M34	CD8_B cells
C10_P3_M34	CD4 T.reg cells
C10_P4_M34	CD8_B cells
C11_P1_M34	unclustered
C11_P2_M34	NK2 cells
C11_P3_M34	unclustered
C11_P4_M34	Monocytes/Macrophages
C12_P1_M34	CD8_B cells
C12_P2_M34	unclustered
C12_P3_M34	CD8_B cells
C12_P4_M34	unclustered
C1_P1_M34	CD8_B cells
C1_P2_M34	NK2 cells
C1_P3_M34	NK2 cells
C1_P4_M34	unclustered
C2_P1_M34	NK3 cells
C2_P2_M34	NK3 cells
C2_P3_M34	unclustered
C3_P1_M34	NK3 cells
C3_P2_M34	Monocytes/Macrophages
C3_P3_M34	CD8_G cells
C3_P4_M34	CD8_G cells
C4_P3_M34	unclustered
C4_P4_M34	CD8_B cells
C5_P2_M34	unclustered
C5_P3_M34	CD4 T.reg cells
C5_P4_M34	NK3 cells
C6_P1_M34	CD8_B cells
C6_P2_M34	CD8_G cells
C6_P3_M34	Monocytes/Macrophages
C6_P4_M34	CD4 T.reg cells
C7_P1_M34	Monocytes/Macrophages
C7_P2_M34	NK3 cells
C7_P3_M34	CD8_B cells
C7_P4_M34	NK1 cells
C8_P1_M34	CD8_G cells
C8_P2_M34	CD8_B cells
C8_P3_M34	CD8_B cells
C8_P4_M34	CD8_G cells
C9_P1_M34	CD8_B cells
C9_P2_M34	unclustered
C9_P3_M34	CD8_G cells
C9_P4_M34	CD8_B cells
D10_P1_M34	unclustered
D10_P2_M34	CD8_G cells
D10_P3_M34	CD8_B cells
D10_P4_M34	NK2 cells
D11_P1_M34	CD8_B cells
D11_P2_M34	CD4 T.reg cells
D11_P4_M34	CD4 T.reg cells
D12_P1_M34	Monocytes/Macrophages
D12_P2_M34	CD8_B cells
D1_P1_M34	CD8_B cells
D1_P2_M34	CD8_G cells
D1_P3_M34	CD8_G cells
D2_P2_M34	Monocytes/Macrophages
D2_P3_M34	CD4 T.reg cells
D2_P4_M34	CD8_B cells
D3_P2_M34	CD4 T.mem cells
D3_P3_M34	NK2 cells
D3_P4_M34	NK2 cells
D4_P2_M34	NK2 cells
D4_P3_M34	CD8_B cells
D4_P4_M34	CD8_B cells
D5_P1_M34	CD8_B cells
D5_P2_M34	CD8_G cells
D5_P3_M34	Monocytes/Macrophages
D5_P4_M34	CD8_B cells
D6_P1_M34	CD4 T.reg cells
D6_P2_M34	CD4 T.reg cells
D6_P3_M34	Monocytes/Macrophages
D6_P4_M34	Plasma cells
D7_P1_M34	unclustered
D7_P2_M34	CD8_B cells
D7_P3_M34	CD8_B cells
D7_P4_M34	CD4 T.reg cells
D8_P1_M34	Monocytes/Macrophages
D8_P2_M34	Monocytes/Macrophages
D8_P3_M34	CD8_G cells
D8_P4_M34	NK2 cells
D9_P2_M34	CD8_B cells
D9_P3_M34	CD8_B cells
D9_P4_M34	CD8_B cells
E10_P1_M34	CD4 T.mem cells
E10_P2_M34	CD8_B cells
E10_P3_M34	CD8_B cells
E10_P4_M34	CD8_B cells
E11_P1_M34	Monocytes/Macrophages
E11_P2_M34	NK3 cells
E11_P3_M34	CD8_B cells
E11_P4_M34	NK3 cells
E12_P1_M34	unclustered
E12_P2_M34	CD8_B cells
E12_P3_M34	NK3 cells
E12_P4_M34	CD8_B cells
E1_P1_M34	unclustered
E1_P2_M34	CD8_B cells
E1_P3_M34	CD8_B cells
E1_P4_M34	CD8_B cells
E2_P1_M34	CD4 T.reg cells
E2_P2_M34	CD8_G cells
E2_P4_M34	CD8_B cells
E3_P1_M34	CD4 T.reg cells
E3_P2_M34	CD8_B cells
E3_P3_M24	Monocytes/Macrophages
E4_P1_M34	unclustered
E4_P2_M34	Plasma cells
E4_P4_M34	CD8_B cells
E5_P1_M34	CD8_B cells
E5_P2_M34	NK1 cells
E6_P2_M34	NK2 cells
E6_P3_M34	unclustered
E7_P2_M37	B cells
E7_P3_M34	NK2 cells
E7_P4_M34	CD8_B cells
E8_P1_M34	CD8_B cells
E8_P2_M34	unclustered
E8_P3_M34	CD4 T.reg cells
E8_P4_M34	CD8_B cells
E9_P1_M34	CD8_B cells
E9_P2_M34	CD8_G cells
E9_P3_M34	CD8_G cells
F10_P1_M34	CD8_B cells
F10_P2_M34	Monocytes/Macrophages
F10_P3_M34	NK3 cells
F10_P4_M34	NK1 cells
F11_P2_M34	CD8_G cells
F11_P3_M34	NK3 cells
F11_P4_M34	CD4 T.reg cells
F12_P2_M34	Monocytes/Macrophages
F12_P3_M34	CD4 T.reg cells
F12_P4_M34	CD8_B cells
F1_P1_M34	CD8_B cells
F1_P2_M34	CD8_B cells
F1_P3_M34	CD8_B cells
F1_P4_M34	Monocytes/Macrophages
F2_P1_M34	CD8_B cells
F2_P2_M34	CD8_B cells
F2_P3_M34	CD8_B cells
F2_P4_M34	unclustered
F3_P1_M34	NK2 cells
F3_P2_M34	Monocytes/Macrophages
F3_P3_M34	CD4 T.reg cells
F3_P4_M34	CD8_B cells
F4_P1_M34	CD8_B cells
F4_P3_M34	CD8_G cells
F5_P1_M34	CD8_B cells
F5_P2_M34	CD4 T.mem cells
F5_P3_M34	NK2 cells
F6_P1_M34	CD8_B cells
F6_P2_M34	CD8_G cells
F6_P3_M34	CD8_B cells
F6_P4_M34	CD4 T.reg cells
F7_P1_M34	CD8_B cells
F7_P2_M34	CD8_G cells
F7_P3_M34	Monocytes/Macrophages
F7_P4_M34	CD8_B cells
F8_P1_M34	CD4 T.reg cells
F8_P2_M34	NK2 cells
F8_P4_M34	Monocytes/Macrophages
F9_P1_M34	CD8_B cells
F9_P2_M34	CD4 T.reg cells
F9_P3_M34	CD4 T.reg cells
G10_P1_M34	Monocytes/Macrophages
G10_P2_M34	CD8_G cells
G10_P3_M34	CD8_B cells
G10_P4_M34	CD8_G cells
G11_P1_M34	CD8_B cells
G11_P3_M34	unclustered
G11_P4_M34	unclustered
G12_P1_M34	CD8_B cells
G12_P2_M34	CD8_B cells
G12_P3_M34	CD8_B cells
G12_P4_M34	CD8_B cells
G1_P1_M34	NK3 cells
G1_P2_M34	CD8_B cells
G1_P3_M34	Monocytes/Macrophages
G1_P4_M34	Plasma cells
G2_P1_M34	CD8_G cells
G2_P2_M34	Plasma cells
G2_P3_M34	CD4 T.reg cells
G2_P4_M34	NK1 cells
G3_P1_M34	CD4 T.reg cells
G3_P2_M34	Monocytes/Macrophages
G3_P3_M34	Monocytes/Macrophages
G3_P4_M34	NK3 cells
G4_P1_M34	unclustered
G4_P3_M34	CD8_B cells
G4_P4_M34	NK2 cells
G5_P1_M34	Monocytes/Macrophages
G5_P3_M34	CD8_G cells
G5_P4_M34	unclustered
G6_P1_M34	CD8_B cells
G6_P3_M34	NK3 cells
G6_P4_M34	Monocytes/Macrophages
G7_P1_M34	CD8_B cells
G7_P2_M34	Monocytes/Macrophages
G7_P3_M34	Monocytes/Macrophages
G7_P4_M34	NK1 cells
G8_P1_M34	CD8_B cells
G8_P2_M34	CD8_B cells
G8_P3_M34	CD8_B cells
G8_P4_M34	NK3 cells
G9_P1_M34	unclustered
G9_P2_M34	Monocytes/Macrophages
G9_P3_M34	CD8_B cells
H10_P1_M34	CD8_G cells
H10_P2_M34	CD8_G cells
H10_P3_M34	NK3 cells
H10_P4_M34	NK2 cells
H11_P2_M34	NK3 cells
H11_P3_M34	CD8_B cells
H11_P4_M34	CD8_B cells
H12_P2_M34	CD4 T.reg cells
H12_P3_M34	CD8_B cells
H12_P4_M34	CD8_B cells
H1_P1_M34	Monocytes/Macrophages
H1_P3_M34	CD8_B cells
H1_P4_M34	Monocytes/Macrophages
H2_P1_M34	NK3 cells
H2_P4_M34	NK1 cells
H3_P1_M34	CD8_B cells
H3_P2_M34	NK3 cells
H3_P3_M34	Monocytes/Macrophages
H3_P4_M34	CD4 T.reg cells
H4_P1_M34	CD4 T.reg cells
H4_P2_M34	NK3 cells
H4_P3_M34	unclustered
H4_P4_M34	unclustered
H5_P1_M34	CD8_B cells
H5_P2_M34	CD8_B cells
H5_P3_M34	NK2 cells
H5_P4_M34	CD8_B cells
H6_P1_M34	CD8_B cells
H6_P2_M34	CD8_B cells
H6_P3_M34	Monocytes/Macrophages
H6_P4_M34	CD8_B cells
H7_P1_M34	B cells
H7_P2_M34	unclustered
H7_P3_M34	CD8_B cells
H7_P4_M34	CD8_B cells
H8_P1_M34	CD8_G cells
H8_P2_M34	NK1 cells
H8_P3_M34	CD8_B cells
H8_P4_M34	CD8_G cells
H9_P1_M34	CD8_B cells
H9_P2_M34	CD8_B cells
H9_P3_M34	unclustered
H9_P4_M34	unclustered
A10_P1_M39	CD8_B cells
A10_P2_M39	CD8_B cells
A10_P4_M39	CD4 T.reg cells
A11_P1_M39	CD8_B cells
A11_P2_M39	NK3 cells
A11_P3_M39	CD4 T.reg cells
A11_P4_M39	unclustered
A12_P1_M39	CD8_B cells
A12_P3_M39	CD8_G cells
A12_P4_M39	NK1 cells
A2_P1_M39	CD8_B cells
A2_P2_M39	CD8_G cells
A2_P3_M39	CD8_B cells
A3_P1_M39	CD8_B cells
A3_P2_M39	CD4 T.reg cells
A3_P3_M39	Plasma cells
A3_P4_M39	CD8_B cells
A4_P2_M39	CD8_B cells
A4_P4_M39	NK3 cells
A5_P3_M39	CD4 T.reg cells
A5_P4_M39	CD8_B cells
A6_P1_M39	CD8_B cells
A6_P4_M39	Plasma cells
A7_P1_M39	NK2 cells
A7_P2_M39	unclustered
A7_P3_M39	CD8_B cells
A7_P4_M39	NK1 cells
A8_P1_M39	Plasma cells
A8_P2_M39	NK3 cells
A8_P3_M39	NK3 cells
A8_P4_M39	CD8_G cells
A9_P2_M39	NK3 cells
A9_P3_M39	NK2 cells
A9_P4_M39	CD8_B cells
B10_P4_M39	NK1 cells
B11_P1_M39	NK3 cells
B12_P1_M39	NK3 cells
B12_P2_M39	CD8_B cells
B1_P1_M39	CD8_B cells
B1_P2_M39	NK2 cells
B1_P3_M39	CD8_G cells
B1_P4_M39	CD8_B cells
B2_P1_M39	CD4 T.reg cells
B2_P2_M39	NK3 cells
B2_P3_M39	CD4 T.reg cells
B2_P4_M39	CD8_G cells
B3_P2_M39	CD4 T.reg cells
B3_P3_M39	CD8_B cells
B3_P4_M39	CD4 T.reg cells
B4_P1_M39	unclustered
B4_P3_M39	B cells
B5_P1_M39	CD8_G cells
B5_P3_M39	CD8_G cells
B5_P4_M39	CD8_B cells
B6_P1_M39	NK3 cells
B6_P3_M39	CD8_B cells
B6_P4_M39	CD8_B cells
B7_P1_M39	CD8_B cells
B7_P2_M39	CD8_G cells
B7_P3_M39	CD8_B cells
B7_P4_M39	CD8_G cells
B8_P2_M39	CD4 T.reg cells
B8_P3_M39	unclustered
B9_P3_M39	unclustered
B9_P4_M39	CD8_B cells
C10_P4_M39	CD8_G cells
C11_P3_M39	CD8_G cells
C11_P4_M39	CD4 T.reg cells
C12_P1_M39	Monocytes/Macrophages
C12_P2_M39	CD8_B cells
C12_P3_M39	unclustered
C12_P4_M39	unclustered
C1_P1_M39	CD8_B cells
C1_P2_M39	CD8_G cells
C1_P3_M39	CD4 T.reg cells
C1_P4_M39	NK3 cells
C2_P1_M39	CD8_G cells
C2_P3_M39	CD4 T.reg cells
C2_P4_M39	CD4 T.reg cells
C3_P1_M39	CD8_G cells
C3_P2_M39	unclustered
C3_P4_M39	NK3 cells
C4_P1_M39	B cells
C4_P2_M39	CD4 T.reg cells
C4_P4_M39	unclustered
C5_P1_M39	CD4 T.reg cells
C5_P4_M39	CD8_G cells
C6_P1_M39	NK2 cells
C7_P1_M39	CD8_B cells
C7_P2_M39	Monocytes/Macrophages
C8_P1_M39	unclustered
C8_P2_M39	CD8_B cells
C8_P4_M39	CD8_B cells
C9_P1_M39	CD8_B cells
C9_P2_M39	NK3 cells
C9_P4_M39	CD8_B cells
D10_P1_M39	CD8_B cells
D10_P2_M39	NK3 cells
D10_P4_M39	CD8_G cells
D11_P1_M39	NK2 cells
D11_P2_M39	NK3 cells
D11_P3_M39	CD4 T.reg cells
D11_P4_M39	NK3 cells
D12_P1_M39	CD8_G cells
D12_P2_M39	CD8_G cells
D12_P3_M39	CD8_B cells
D12_P4_M39	NK3 cells
D1_P1_M39	NK3 cells
D1_P2_M39	CD8_G cells
D1_P4_M39	CD8_B cells
D2_P1_M39	CD8_B cells
D2_P2_M39	NK2 cells
D3_P1_M39	unclustered
D3_P2_M39	Dendritic cells
D3_P3_M39	Plasma cells
D4_P2_M39	CD4 T.reg cells
D4_P4_M39	CD8_B cells
D5_P1_M39	NK2 cells
D5_P2_M39	unclustered
D5_P3_M39	CD8_G cells
D6_P1_M39	NK1 cells
D6_P2_M39	CD8_B cells
D6_P3_M39	Plasma cells
D7_P1_M39	CD8_B cells
D7_P2_M39	CD8_B cells
D7_P4_M39	NK3 cells
D8_P1_M39	CD8_B cells
D8_P3_M39	CD8_B cells
D9_P1_M39	NK3 cells
D9_P2_M39	CD8_B cells
D9_P4_M39	NK3 cells
E10_P1_M39	unclustered
E10_P2_M39	CD8_G cells
E10_P3_M39	CD8_G cells
E10_P4_M39	CD8_B cells
E11_P1_M39	CD8_B cells
E11_P2_M39	NK3 cells
E11_P3_M39	CD8_B cells
E11_P4_M39	NK1 cells
E12_P2_M39	Plasma cells
E12_P3_M39	CD8_B cells
E12_P4_M39	NK3 cells
E1_P1_M39	CD8_B cells
E1_P3_M39	NK3 cells
E1_P4_M39	CD8_G cells
E2_P1_M39	CD8_B cells
E2_P3_M39	CD8_B cells
E2_P4_M39	CD8_B cells
E3_P1_M39	NK1 cells
E3_P2_M39	CD4 T.mem cells
E3_P3_M39	unclustered
E3_P4_M39	NK2 cells
E4_P1_M39	CD8_B cells
E4_P2_M39	CD8_B cells
E4_P3_M39	unclustered
E4_P4_M39	Plasma cells
E5_P1_M39	CD4 T.reg cells
E5_P2_M39	CD8_G cells
E5_P4_M39	unclustered
E6_P1_M39	CD8_B cells
E6_P2_M39	CD4 T.reg cells
E6_P3_M39	CD8_B cells
E7_P1_M39	CD8_B cells
E7_P2_M39	CD8_B cells
E7_P3_M39	CD4 T.reg cells
E7_P4_M39	CD8_G cells
E8_P1_M39	CD8_B cells
E8_P2_M39	unclustered
E8_P3_M39	CD8_G cells
E9_P2_M39	CD8_B cells
E9_P3_M39	CD4 T.reg cells
E9_P4_M39	unclustered
F10_P1_M39	NK3 cells
F10_P2_M39	NK2 cells
F10_P3_M39	CD8_G cells
F10_P4_M39	Monocytes/Macrophages
F11_P1_M39	CD8_G cells
F11_P2_M39	Monocytes/Macrophages
F11_P3_M39	CD8_G cells
F11_P4_M39	CD8_B cells
F12_P1_M39	CD4 T.reg cells
F12_P2_M39	CD8_B cells
F12_P3_M39	CD4 T.reg cells
F12_P4_M39	unclustered
F1_P1_M39	CD8_B cells
F1_P2_M39	CD8_B cells
F1_P3_M39	NK1 cells
F1_P4_M39	CD8_B cells
F2_P2_M39	CD8_G cells
F2_P3_M39	NK3 cells
F2_P4_M39	NK2 cells
F3_P1_M39	CD8_B cells
F3_P2_M39	NK2 cells
F3_P4_M39	NK3 cells
F4_P1_M39	unclustered
F4_P2_M39	CD8_B cells
F4_P3_M39	CD8_B cells
F4_P4_M39	CD8_B cells
F5_P1_M39	CD4 T.reg cells
F5_P2_M39	CD8_B cells
F5_P3_M39	CD4 T.reg cells
F5_P4_M39	NK2 cells
F6_P1_M39	CD8_B cells
F6_P3_M39	Plasma cells
F6_P4_M39	CD8_G cells
F7_P1_M39	CD8_B cells
F7_P2_M39	CD8_B cells
F7_P4_M39	CD8_B cells
F8_P1_M39	CD8_B cells
F8_P2_M39	CD8_B cells
F9_P1_M39	NK2 cells
F9_P2_M39	CD8_G cells
F9_P3_M39	unclustered
G10_P1_M39	CD4 T.reg cells
G10_P2_M39	CD8_G cells
G10_P3_M39	CD8_B cells
G10_P4_M39	unclustered
G11_P1_M39	CD8_B cells
G11_P2_M39	NK3 cells
G11_P3_M39	CD8_G cells
G11_P4_M39	NK3 cells
G12_P1_M39	NK3 cells
G12_P2_M39	NK2 cells
G12_P3_M39	CD8_B cells
G1_P1_M39	NK2 cells
G1_P2_M39	CD8_B cells
G1_P3_M39	unclustered
G1_P4_M39	CD4 T.mem cells
G2_P1_M39	CD4 T.reg cells
G2_P2_M39	NK2 cells
G2_P3_M39	CD8_G cells
G2_P4_M39	CD4 T.reg cells
G3_P1_M39	CD4 T.reg cells
G3_P2_M39	B cells
G3_P3_M39	CD4 T.reg cells
G3_P4_M39	Plasma cells
G4_P1_M39	CD4 T.reg cells
G4_P2_M39	NK3 cells
G4_P3_M39	CD8_B cells
G5_P1_M39	NK3 cells
G5_P2_M39	CD8_B cells
G5_P3_M39	CD4 T.reg cells
G5_P4_M39	B cells
G6_P1_M39	unclustered
G6_P2_M39	CD8_B cells
G7_P1_M39	CD8_G cells
G7_P2_M39	NK3 cells
G7_P3_M39	unclustered
G8_P1_M39	unclustered
G8_P2_M39	CD8_B cells
G8_P3_M39	CD8_G cells
G9_P1_M39	NK2 cells
G9_P2_M39	CD8_B cells
G9_P3_M39	CD8_B cells
G9_P4_M39	NK2 cells
H10_P1_M39	CD8_B cells
H10_P2_M39	CD8_B cells
H10_P3_M39	CD8_B cells
H10_P4_M39	CD4 T.mem cells
H11_P1_M39	CD4 T.reg cells
H11_P2_M39	CD8_B cells
H11_P3_M39	CD8_G cells
H11_P4_M39	unclustered
H12_P1_M39	CD8_B cells
H12_P2_M39	NK1 cells
H12_P3_M39	CD4 T.mem cells
H12_P4_M39	CD4 T.reg cells
H1_P2_M39	CD8_B cells
H1_P3_M39	unclustered
H1_P4_M39	CD8_B cells
H2_P2_M39	CD8_B cells
H2_P3_M39	CD4 T.reg cells
H2_P4_M39	NK2 cells
H3_P1_M39	CD8_B cells
H3_P2_M39	NK3 cells
H3_P3_M39	NK3 cells
H3_P4_M39	unclustered
H4_P1_M39	Monocytes/Macrophages
H4_P2_M39	CD8_G cells
H4_P3_M39	CD8_B cells
H4_P4_M39	unclustered
H5_P1_M39	CD8_B cells
H5_P2_M39	NK3 cells
H5_P3_M39	NK3 cells
H5_P4_M39	CD8_B cells
H6_P1_M39	CD4 T.reg cells
H6_P2_M39	CD8_B cells
H6_P3_M39	CD4 T.reg cells
H6_P4_M39	CD8_G cells
H7_P1_M39	CD8_B cells
H7_P2_M39	CD8_B cells
H7_P3_M39	CD8_B cells
H7_P4_M39	CD4 T.reg cells
H8_P1_M39	CD8_B cells
H8_P2_M39	CD8_B cells
H8_P3_M39	CD8_G cells
H8_P4_M39	CD4 T.mem cells
H9_P1_M39	CD4 T.mem cells
H9_P2_M39	CD8_G cells
H9_P3_M39	CD4 T.reg cells
H9_P4_M39	NK3 cells
A10_P1_M17	NK2 cells
A10_P2_M17	NK2 cells
A10_P5_M17	CD4 T.reg cells
A10_P6_M17	CD8_G cells
A11_P2_M17	CD8_G cells
A11_P5_M17	NK2 cells
A11_P6_M17	CD8_G cells
A12_P1_M17	NK2 cells
A12_P5_M17	CD8_B cells
A12_P6_M17	CD8_G cells
A2_P2_M17	CD8_G cells
A2_P5_M17	CD8_B cells
A2_P6_M17	CD8_G cells
A3_P1_M17	Monocytes/Macrophages
A3_P5_M17	NK3 cells
A3_P6_M17	CD8_G cells
A4_P1_M17	NK2 cells
A4_P2_M17	B cells
A4_P5_M17	CD8_G cells
A5_P1_M17	Monocytes/Macrophages
A5_P2_M17	Monocytes/Macrophages
A5_P5_M17	NK2 cells
A5_P6_M17	NK2 cells
A6_P1_M17	NK2 cells
A6_P2_M17	CD4 T.mem cells
A6_P6_M17	CD8_G cells
A7_P2_M17	unclustered
A7_P6_M17	CD8_G cells
A8_P1_M17	NK2 cells
A8_P5_M17	CD4 T.reg cells
A8_P6_M17	NK1 cells
B10_P1_M17	CD4 T.mem cells
B10_P2_M17	CD4 T.mem cells
B10_P5_M17	NK1 cells
B10_P6_M17	CD4 T.reg cells
B11_P2_M17	NK2 cells
B11_P5_M17	Monocytes/Macrophages
B11_P6_M17	NK2 cells
B12_P1_M17	CD4 T.mem cells
B12_P5_M17	CD8_G cells
B12_P6_M17	CD8_G cells
B1_P1_M17	B cells
B1_P5_M17	NK2 cells
B1_P6_M17	CD8_G cells
B2_P5_M17	CD8_G cells
B2_P6_M17	NK2 cells
B3_P1_M17	NK2 cells
B3_P6_M17	CD8_G cells
B4_P1_M17	NK2 cells
B4_P2_M17	NK2 cells
B4_P6_M17	NK2 cells
B5_P1_M17	Monocytes/Macrophages
B5_P2_M17	CD4 T.mem cells
B5_P6_M17	CD8_G cells
B6_P1_M17	B cells
B6_P2_M17	CD4 T.mem cells
B7_P2_M17	B cells
B8_P5_M17	CD4 T.reg cells
B8_P6_M17	NK2 cells
B9_P1_M17	NK2 cells
B9_P2_M17	CD4 T.mem cells
B9_P5_M17	NK2 cells
B9_P6_M17	CD8_G cells
C10_P1_M17	CD8_G cells
C10_P2_M17	B cells
C10_P5_M17	CD8_G cells
C10_P6_M17	CD8_G cells
C11_P1_M17	NK2 cells
C11_P2_M17	CD8_G cells
C11_P5_M17	NK2 cells
C12_P2_M17	NK2 cells
C12_P6_M17	CD8_G cells
C1_P2_M17	CD4 T.mem cells
C1_P6_M17	CD8_G cells
C2_P1_M17	NK2 cells
C2_P2_M17	CD8_G cells
C2_P5_M17	CD8_G cells
C3_P1_M17	B cells
C3_P2_M17	CD4 T.mem cells
C3_P5_M17	NK2 cells
C3_P6_M17	CD8_G cells
C4_P1_M17	unclustered
